epoch,accuracy,loss
0,0.5511810779571533,0.6993346214294434
1,0.6732283234596252,0.6187615394592285
2,0.7795275449752808,0.44998037815093994
3,0.8661417365074158,0.31252384185791016
4,0.9409449100494385,0.19812799990177155
5,0.9685039520263672,0.0801667869091034
6,0.960629940032959,0.1324920952320099
7,0.9685039520263672,0.08495154976844788
8,0.9921259880065918,0.03452860563993454
9,0.9960629940032959,0.013905640691518784
10,1.0,0.0026284647174179554
11,1.0,0.0007044790545478463
12,1.0,0.00043670457671396434
13,1.0,0.00030680198688060045
14,1.0,0.0002480112889315933
