epoch,accuracy,loss
0,0.5314960479736328,0.7076608538627625
1,0.6574802994728088,0.6229230165481567
2,0.751968502998352,0.5093562006950378
3,0.8267716765403748,0.4035242199897766
4,0.8818897604942322,0.24982477724552155
5,0.9330708384513855,0.16670387983322144
6,0.9763779640197754,0.06387127190828323
7,0.9842519760131836,0.05554879829287529
8,0.9645669460296631,0.07584574818611145
9,0.9763779640197754,0.05064713954925537
10,0.9960629940032959,0.009520250372588634
11,1.0,0.001346225617453456
12,1.0,0.00044480268843472004
13,1.0,0.00028266830486245453
14,1.0,0.00020732944540213794
